Comente,texto_sem_emojis,texto_sem_emojis_limpo
Cuide bem direitinho dele! Ele vai escolher o asilo que a senha ficará.,Cuide bem direitinho dele! Ele vai escolher o asilo que a senha ficará.,uide bem direitinho dele le vai escolher o asilo que a senha ficará
Tô aguardando um reembolso desse banco tem 2 anos e ninguém resolve.,Tô aguardando um reembolso desse banco tem 2 anos e ninguém resolve.,ô aguardando um reembolso desse banco tem anos e ninguém resolve
Diminui esse juros aí por gentileza se não for pedir muito,Diminui esse juros aí por gentileza se não for pedir muito,iminui esse juros aí por gentileza se não for pedir muito
1.890,1.890,
"nubank pelo amor de Deus pare de me cobrar eu não tenho dinheiro veyyyy vc emprestou oq quis agora vem cobrar ????? aaaanao odeio q me cobrem 
 e outra…. quanto mas me cobrarem mas eu demoro pra pagar 
 Fica a dica","nubank pelo amor de Deus pare de me cobrar eu não tenho dinheiro veyyyy vc emprestou oq quis agora vem cobrar ????? aaaanao odeio q me cobrem 
 e outra…. quanto mas me cobrarem mas eu demoro pra pagar 
 Fica a dica",nubank pelo amor de eus pare de me cobrar eu não tenho dinheiro veyyyy vc emprestou oq quis agora vem cobrar aaaanao odeio q me cobrem e outra quanto mas me cobrarem mas eu demoro pra pagar ica a dica
"Meu Deus, o gusta","Meu Deus, o gusta",eu eus o gusta
@nubank e do olho gordo,@nubank e do olho gordo,nubank e do olho gordo
"😮,","face_with_open_mouth,",facewithopenmouth
@nubank 2 mês consecutivo aumento de limite $ 10 reais .,@nubank 2 mês consecutivo aumento de limite $ 10 reais .,nubank mês consecutivo aumento de limite reais
"@nubank esse email só manda mensagem automática e ninguém nunca solucionou, já mandei mensagem na ouvidoria e ate agora nad, lamentável a postura do banco","@nubank esse email só manda mensagem automática e ninguém nunca solucionou, já mandei mensagem na ouvidoria e ate agora nad, lamentável a postura do banco",nubank esse email só manda mensagem automática e ninguém nunca solucionou já mandei mensagem na ouvidoria e ate agora nad lamentável a postura do banco
"Do nada bloqueou a minha conta e cancelou , não consigo nem compra um pão , porque o dinheiro tá parado , o banco ordinário, 3 dias é mentira não acreditem , já mandei mais de 10 e-mails e nada só mensagem automática, já não sei o que fazer mais","Do nada bloqueou a minha conta e cancelou , não consigo nem compra um pão , porque o dinheiro tá parado , o banco ordinário, 3 dias é mentira não acreditem , já mandei mais de 10 e-mails e nada só mensagem automática, já não sei o que fazer mais",o nada bloqueou a minha conta e cancelou não consigo nem compra um pão porque o dinheiro tá parado o banco ordinário dias é mentira não acreditem já mandei mais de emails e nada só mensagem automática já não sei o que fazer mais
@felipe.nasc61 resolveu?,@felipe.nasc61 resolveu?,felipenasc resolveu
@robertalessa27 devolveu o dinheiro?,@robertalessa27 devolveu o dinheiro?,robertalessa devolveu o dinheiro
"@_rmrsm_ não, ainda está bloqueado","@_rmrsm_ não, ainda está bloqueado",rmrsm não ainda está bloqueado
Estou com compras feitas em um cartão que não existe na aba meus cartões e está sendo cobrado compra que eu não fiz ou reconheço: no app não tem função de falar direto com ninguém.,Estou com compras feitas em um cartão que não existe na aba meus cartões e está sendo cobrado compra que eu não fiz ou reconheço: no app não tem função de falar direto com ninguém.,stou com compras feitas em um cartão que não existe na aba meus cartões e está sendo cobrado compra que eu não fiz ou reconheço no app não tem função de falar direto com ninguém
"@nubank engraçado que por motivo de segurança houve bloqueio de várias pessoas diferentes qual motivo foi esse que aconteceu ?  Por aqui só recebi Pix nada fora do normal , quem está agindo errado aqui são vocês .","@nubank engraçado que por motivo de segurança houve bloqueio de várias pessoas diferentes qual motivo foi esse que aconteceu ?  Por aqui só recebi Pix nada fora do normal , quem está agindo errado aqui são vocês .",nubank engraçado que por motivo de segurança houve bloqueio de várias pessoas diferentes qual motivo foi esse que aconteceu or aqui só recebi ix nada fora do normal quem está agindo errado aqui são vocês
@nubank se não ligar e reclamar esse email eh balela .... não chega nunca .... falta de respeito com o consumidor,@nubank se não ligar e reclamar esse email eh balela .... não chega nunca .... falta de respeito com o consumidor,nubank se não ligar e reclamar esse email eh balela não chega nunca falta de respeito com o consumidor
Sim sim,Sim sim,im sim
@paulinh3492 Coisa que não vale apena pegar  imprestimo.,@paulinh3492 Coisa que não vale apena pegar  imprestimo.,paulinh oisa que não vale apena pegar imprestimo
"LADROES QUERO MEU DINHEIRO, E AINDA ENCERRARAO A MINHA CONTA SEM MOTIVOS ALGUNS, COMO FICAMOS COM CONTAS PENDENTES A PAGAR NO DIA DE HOJE, E OS JUROS VAO ARCAR LOGICO QUE NAO, JA ESTAO COM O BOLSO CHEIO!!!! BENDITA HORA E SE FOSSE NOIS DEVENDO PRA ELES JA TERIAM RESOLVIDO NA HORA, QUERO MEU DINHEIRO NUBANK","LADROES QUERO MEU DINHEIRO, E AINDA ENCERRARAO A MINHA CONTA SEM MOTIVOS ALGUNS, COMO FICAMOS COM CONTAS PENDENTES A PAGAR NO DIA DE HOJE, E OS JUROS VAO ARCAR LOGICO QUE NAO, JA ESTAO COM O BOLSO CHEIO!!!! BENDITA HORA E SE FOSSE NOIS DEVENDO PRA ELES JA TERIAM RESOLVIDO NA HORA, QUERO MEU DINHEIRO NUBANK",
Melhor banco é @c6bank 😍😉,Melhor banco é @c6bank smiling_face_with_heart-eyeswinking_face,elhor banco é cbank smilingfacewithhearteyeswinkingface
"Juros alto, problemas de aumento de credito mesmo a pessoas fazendo tudo certinho. E agora um problemas no crédito pix e boleto mesmo a pessoa usando e pagando certinho.","Juros alto, problemas de aumento de credito mesmo a pessoas fazendo tudo certinho. E agora um problemas no crédito pix e boleto mesmo a pessoa usando e pagando certinho.",uros alto problemas de aumento de credito mesmo a pessoas fazendo tudo certinho agora um problemas no crédito pix e boleto mesmo a pessoa usando e pagando certinho
"@nubank SO QUERO MEU DINHEIRO , MINHA CONTA FOI CANCELADA DO NADA E FICOU QUASE MIL REIAS LA, E NAO CONSIGO FAZER NADA, E AS CONTAS VENCENDO VAO ARCAR COM O JUROS NAO NE, QUERO MEU DINHEIRO","@nubank SO QUERO MEU DINHEIRO , MINHA CONTA FOI CANCELADA DO NADA E FICOU QUASE MIL REIAS LA, E NAO CONSIGO FAZER NADA, E AS CONTAS VENCENDO VAO ARCAR COM O JUROS NAO NE, QUERO MEU DINHEIRO",nubank
@claudiobrrjr devolveram ?,@claudiobrrjr devolveram ?,claudiobrrjr devolveram
"Vocês bloquearam minha conta ,quero um retorno e quero meu dinheiro","Vocês bloquearam minha conta ,quero um retorno e quero meu dinheiro",ocês bloquearam minha conta quero um retorno e quero meu dinheiro
@jes.sicascarleth também bloquearam a minha ontem a noite,@jes.sicascarleth também bloquearam a minha ontem a noite,jessicascarleth também bloquearam a minha ontem a noite
"@nubank já mandei.e sem retorno, isso é errado ...Eu quero meu dinheiro, quero que façam a minha transferência e só! Se a conta tá bloqueada então mandem os valores e ponto","@nubank já mandei.e sem retorno, isso é errado ...Eu quero meu dinheiro, quero que façam a minha transferência e só! Se a conta tá bloqueada então mandem os valores e ponto",nubank já mandeie sem retorno isso é errado u quero meu dinheiro quero que façam a minha transferência e só e a conta tá bloqueada então mandem os valores e ponto
"@nubank eu quero o meu dinheiro ,é só fazer a transferência e pronto.  Se já tá cancelado então pra que reter o dinheiro?","@nubank eu quero o meu dinheiro ,é só fazer a transferência e pronto.  Se já tá cancelado então pra que reter o dinheiro?",nubank eu quero o meu dinheiro é só fazer a transferência e pronto e já tá cancelado então pra que reter o dinheiro
"@nubank tratamento adequado? Aí se poupa viu! Vários comentários aí com pessoas passando pela mesma situação.  Devolvam nosso dinheiro ,a gente deveria procurar os canais digitais pra expor essa situação ridícula que estamos passando. Eu quero meu dinheiro","@nubank tratamento adequado? Aí se poupa viu! Vários comentários aí com pessoas passando pela mesma situação.  Devolvam nosso dinheiro ,a gente deveria procurar os canais digitais pra expor essa situação ridícula que estamos passando. Eu quero meu dinheiro",nubank tratamento adequado í se poupa viu ários comentários aí com pessoas passando pela mesma situação evolvam nosso dinheiro a gente deveria procurar os canais digitais pra expor essa situação ridícula que estamos passando u quero meu dinheiro
Saudades do Gusta. O cara é um gênio mas naquela época tava muito a frente,Saudades do Gusta. O cara é um gênio mas naquela época tava muito a frente,audades do usta cara é um gênio mas naquela época tava muito a frente
😍,smiling_face_with_heart-eyes,smilingfacewithhearteyes
"Pior banco do mundo, quando menos esperar eles vai bloquear sua conta com todo seu dinheiro te tirando tudo","Pior banco do mundo, quando menos esperar eles vai bloquear sua conta com todo seu dinheiro te tirando tudo",ior banco do mundo quando menos esperar eles vai bloquear sua conta com todo seu dinheiro te tirando tudo
@joarlyson_ts sem contar que eles bloqueia sua conta de uma hora pra outra com todo seu dinheiro e sem dar motivos e vc perde tudo,@joarlyson_ts sem contar que eles bloqueia sua conta de uma hora pra outra com todo seu dinheiro e sem dar motivos e vc perde tudo,joarlysonts sem contar que eles bloqueia sua conta de uma hora pra outra com todo seu dinheiro e sem dar motivos e vc perde tudo
"@biatotiago esquece amigo eles não devolve vai ficar pra suprir gasto que você nem teve, fizeram CMG e com meu marido tbm","@biatotiago esquece amigo eles não devolve vai ficar pra suprir gasto que você nem teve, fizeram CMG e com meu marido tbm",biatotiago esquece amigo eles não devolve vai ficar pra suprir gasto que você nem teve fizeram e com meu marido tbm
"@nubank tá qual atividade suspeita , pago a fatura certinho e TD mês recebo o mesmo valor. Suspeito a onde? Admite tão falindo e roubando o máximo de pessoa que podem","@nubank tá qual atividade suspeita , pago a fatura certinho e TD mês recebo o mesmo valor. Suspeito a onde? Admite tão falindo e roubando o máximo de pessoa que podem",nubank tá qual atividade suspeita pago a fatura certinho e mês recebo o mesmo valor uspeito a onde dmite tão falindo e roubando o máximo de pessoa que podem
😍,smiling_face_with_heart-eyes,smilingfacewithhearteyes
"Gostaria de saber pq tenho tanto tempo de banco e não aumentam meu limite????? Dizem ser um banco descomplicado, mas só complicam nossas vidas, sem contar nos juros altíssimos, e o adicional que tiram quando mais precisamos , banco mentiroso.","Gostaria de saber pq tenho tanto tempo de banco e não aumentam meu limite????? Dizem ser um banco descomplicado, mas só complicam nossas vidas, sem contar nos juros altíssimos, e o adicional que tiram quando mais precisamos , banco mentiroso.",ostaria de saber pq tenho tanto tempo de banco e não aumentam meu limite izem ser um banco descomplicado mas só complicam nossas vidas sem contar nos juros altíssimos e o adicional que tiram quando mais precisamos banco mentiroso
O foda e que a gente manda suporte e eles não respondem de jeito nenhum se tá doido !,O foda e que a gente manda suporte e eles não respondem de jeito nenhum se tá doido !,foda e que a gente manda suporte e eles não respondem de jeito nenhum se tá doido
"Simplesmente cancelou minha conta do nada, e meu dinheiro ainda está preso lá","Simplesmente cancelou minha conta do nada, e meu dinheiro ainda está preso lá",implesmente cancelou minha conta do nada e meu dinheiro ainda está preso lá
Sou o CLT em dia de festival,Sou o CLT em dia de festival,ou o em dia de festival
Y,Y,
@rehdemilhoes,@rehdemilhoes,rehdemilhoes
Ae nu aumenta meu limite nazarento kk,Ae nu aumenta meu limite nazarento kk,e nu aumenta meu limite nazarento kk
Cade o empréstimo???? Movimentação mais de 9 mil por mês e nada,Cade o empréstimo???? Movimentação mais de 9 mil por mês e nada,ade o empréstimo ovimentação mais de mil por mês e nada
@alle_reis_01 pegou de quanto?,@alle_reis_01 pegou de quanto?,allereis pegou de quanto
@lucianoalves_teixeira 26mil,@lucianoalves_teixeira 26mil,lucianoalvesteixeira mil
@nubank meu nome tá limpooo,@nubank meu nome tá limpooo,nubank meu nome tá limpooo
Devolve o dinheiro das pessoas nubank,Devolve o dinheiro das pessoas nubank,evolve o dinheiro das pessoas nubank
@nubank mais do que já gasto !!,@nubank mais do que já gasto !!,nubank mais do que já gasto
Nunca aumenta nada e pago o cartão em dias,Nunca aumenta nada e pago o cartão em dias,unca aumenta nada e pago o cartão em dias
Resolveram?,Resolveram?,esolveram
@biatotiago resolveu?,@biatotiago resolveu?,biatotiago resolveu
@sato746 resolveu?,@sato746 resolveu?,sato resolveu
@claudiobrrjr devolveu?,@claudiobrrjr devolveu?,claudiobrrjr devolveu
Não,Não,ão
"Pior juros do mundo, como pode, uma dívida de 148, em 4 anos gerar 38 mil kkkk","Pior juros do mundo, como pode, uma dívida de 148, em 4 anos gerar 38 mil kkkk",ior juros do mundo como pode uma dívida de em anos gerar mil kkkk
@ericanogueeira não caia nessa eles estão bloqueando sem mais nem menos.,@ericanogueeira não caia nessa eles estão bloqueando sem mais nem menos.,ericanogueeira não caia nessa eles estão bloqueando sem mais nem menos
"@biatotiago surreal isso estão bloqueando geral sem motivo nenhum , isso é crime bloqueio indevido .","@biatotiago surreal isso estão bloqueando geral sem motivo nenhum , isso é crime bloqueio indevido .",biatotiago surreal isso estão bloqueando geral sem motivo nenhum isso é crime bloqueio indevido
@vivi4nesantos_ conseguiu resolver?,@vivi4nesantos_ conseguiu resolver?,vivinesantos conseguiu resolver
Conseguiu resolver ? Bloquearam a minha hoje também,Conseguiu resolver ? Bloquearam a minha hoje também,onseguiu resolver loquearam a minha hoje também
@sato746 resolveu ??,@sato746 resolveu ??,sato resolveu
App lixo cobrando quando vc tira seu próprio dinheiro. 👎,App lixo cobrando quando vc tira seu próprio dinheiro. thumbs_down,pp lixo cobrando quando vc tira seu próprio dinheiro thumbsdown
"@nubank já fiz isso e não adianta nada , não tem opção de aumentar","@nubank já fiz isso e não adianta nada , não tem opção de aumentar",nubank já fiz isso e não adianta nada não tem opção de aumentar
@nubank vou cancelar esse cartão.,@nubank vou cancelar esse cartão.,nubank vou cancelar esse cartão
Achei que era o Carlinhos do pânico kkkk,Achei que era o Carlinhos do pânico kkkk,chei que era o arlinhos do pânico kkkk
@nubank uso tanto o cartão que chego a ficar sem limite,@nubank uso tanto o cartão que chego a ficar sem limite,nubank uso tanto o cartão que chego a ficar sem limite
"@nubank o dinheiro é descontado do meu débito, não tenho cartão de crédito. 👍","@nubank o dinheiro é descontado do meu débito, não tenho cartão de crédito. thumbs_up",nubank o dinheiro é descontado do meu débito não tenho cartão de crédito thumbsup
@nubank não recebi nenhum e mail,@nubank não recebi nenhum e mail,nubank não recebi nenhum e mail
@jes.sicascarleth ainda não,@jes.sicascarleth ainda não,jessicascarleth ainda não
"Nunu… já pensou em ser patrocinador do show dos meninos do BTS? O roxinho de vocês super combina com eles! 💜
Provavelmente eles virão em turnê no começo do ano que vem, então dá tempo de se programar, hein? Seria um presentão para os ARMYs brasileiros! 😉💜","Nunu… já pensou em ser patrocinador do show dos meninos do BTS? O roxinho de vocês super combina com eles! purple_heart
Provavelmente eles virão em turnê no começo do ano que vem, então dá tempo de se programar, hein? Seria um presentão para os ARMYs brasileiros! winking_facepurple_heart",unu já pensou em ser patrocinador do show dos meninos do roxinho de vocês super combina com eles purpleheart rovavelmente eles virão em turnê no começo do ano que vem então dá tempo de se programar hein eria um presentão para os s brasileiros winkingfacepurpleheart
@g.piresxx__ desbloqueou?,@g.piresxx__ desbloqueou?,gpiresxx desbloqueou
@art.formas liberou?,@art.formas liberou?,artformas liberou
@saruschkabarros devolveu?,@saruschkabarros devolveu?,saruschkabarros devolveu
@mavy_arte_digital resolveu?,@mavy_arte_digital resolveu?,mavyartedigital resolveu
"Ainda não, desde sexta-feira","Ainda não, desde sexta-feira",inda não desde sextafeira
"@art.formas mds vc chegou cvs com eles na ligação??? Eu liguei me deram prazo de 3 dias  cvs com eles no email tbm 
To com 11 mil garado la","@art.formas mds vc chegou cvs com eles na ligação??? Eu liguei me deram prazo de 3 dias  cvs com eles no email tbm 
To com 11 mil garado la",artformas mds vc chegou cvs com eles na ligação u liguei me deram prazo de dias cvs com eles no email tbm o com mil garado la
@jes.sicascarleth exato,@jes.sicascarleth exato,jessicascarleth exato
"@biatotiago até 10 dias úteis pra devolver um dinheiro que é nosso sem explicação isso aí , danos morais isso sim .","@biatotiago até 10 dias úteis pra devolver um dinheiro que é nosso sem explicação isso aí , danos morais isso sim .",biatotiago até dias úteis pra devolver um dinheiro que é nosso sem explicação isso aí danos morais isso sim
@jes.sicascarleth pra bloquear eles não mandam email avisando não... mas pra devolver pqp 10 dias mesmo ... @nubank me ajuda ae .... @bancocentraldobrasil vamos olhar isso,@jes.sicascarleth pra bloquear eles não mandam email avisando não... mas pra devolver pqp 10 dias mesmo ... @nubank me ajuda ae .... @bancocentraldobrasil vamos olhar isso,jessicascarleth pra bloquear eles não mandam email avisando não mas pra devolver pqp dias mesmo nubank me ajuda ae bancocentraldobrasil vamos olhar isso
"@biatotiago sim não avisam nada , não tentaram nenhum contato pra confirmar a segurança da conta simplesmente bloquearam e pronto . @nubank libera o nosso dinheiro , @bancocentraldobrasil investiga isso aí está totalmente errado .","@biatotiago sim não avisam nada , não tentaram nenhum contato pra confirmar a segurança da conta simplesmente bloquearam e pronto . @nubank libera o nosso dinheiro , @bancocentraldobrasil investiga isso aí está totalmente errado .",biatotiago sim não avisam nada não tentaram nenhum contato pra confirmar a segurança da conta simplesmente bloquearam e pronto nubank libera o nosso dinheiro bancocentraldobrasil investiga isso aí está totalmente errado
@nubank 😃✌,@nubank grinning_face_with_big_eyesvictory_hand,nubank grinningfacewithbigeyesvictoryhand
Banco era bom agora fuleiro,Banco era bom agora fuleiro,anco era bom agora fuleiro
"@viktoor_gabriel tire o quanto antes. O perigo, e deles bloquearem a retirada do teu dinheiro no meio da transferência.  Basta o @nubank botar como suspeita a retirada do teu dinheiro da conta deles, e já era.","@viktoor_gabriel tire o quanto antes. O perigo, e deles bloquearem a retirada do teu dinheiro no meio da transferência.  Basta o @nubank botar como suspeita a retirada do teu dinheiro da conta deles, e já era.",viktoorgabriel tire o quanto antes perigo e deles bloquearem a retirada do teu dinheiro no meio da transferência asta o nubank botar como suspeita a retirada do teu dinheiro da conta deles e já era
EU NÃO CONSIGO CADASTRAR 😢,EU NÃO CONSIGO CADASTRAR crying_face,Ã cryingface
Queria saber pq deposite 500 não caiu na minha conta ?,Queria saber pq deposite 500 não caiu na minha conta ?,ueria saber pq deposite não caiu na minha conta
Oque aconteceu  com meu nunca chegou,Oque aconteceu  com meu nunca chegou,que aconteceu com meu nunca chegou
Conversa  comigo por mensagem como tivesse em minhas mãos,Conversa  comigo por mensagem como tivesse em minhas mãos,onversa comigo por mensagem como tivesse em minhas mãos
"Gostaria de saber se o nubank está cobrando uma taxa para podemos obter um novo cartão ,eu já tenho o meu mas estão oferecendo outro com o limite maior eu só quero saber se tenho que pagar pelo novo cartão,? Obrigada eu gosto muito do nubank nunca tive problemas","Gostaria de saber se o nubank está cobrando uma taxa para podemos obter um novo cartão ,eu já tenho o meu mas estão oferecendo outro com o limite maior eu só quero saber se tenho que pagar pelo novo cartão,? Obrigada eu gosto muito do nubank nunca tive problemas",ostaria de saber se o nubank está cobrando uma taxa para podemos obter um novo cartão eu já tenho o meu mas estão oferecendo outro com o limite maior eu só quero saber se tenho que pagar pelo novo cartão brigada eu gosto muito do nubank nunca tive problemas
@viktoor_gabriel eles bloqueou ou minha conta com o MEU DINHEIRO,@viktoor_gabriel eles bloqueou ou minha conta com o MEU DINHEIRO,viktoorgabriel eles bloqueou ou minha conta com o
"@nubank não adianta pra nada, pedem 3 dias e já passou do prazo","@nubank não adianta pra nada, pedem 3 dias e já passou do prazo",nubank não adianta pra nada pedem dias e já passou do prazo
Alguém aqui conseguiu ter o dinheiro de volta ?,Alguém aqui conseguiu ter o dinheiro de volta ?,lguém aqui conseguiu ter o dinheiro de volta
@leandroartdesign nota ZERO,@leandroartdesign nota ZERO,leandroartdesign nota
@san_sun9jk melhor? Como? Bloqueando com o dinheiro dos clientes.,@san_sun9jk melhor? Como? Bloqueando com o dinheiro dos clientes.,sansunjk melhor omo loqueando com o dinheiro dos clientes
@nubank não me enviou nada,@nubank não me enviou nada,nubank não me enviou nada
"@nubank preciso da ajuda urgentemente de vocês em relação ao empréstimo pessoal porque tenho oferta e não consigo contratá-lo Porque não estou conseguindo atualizar meu comprovante de renda porque fica dando erro e por causa disso não consigo contratar o empréstimo pessoal,me ajudem por favor.","@nubank preciso da ajuda urgentemente de vocês em relação ao empréstimo pessoal porque tenho oferta e não consigo contratá-lo Porque não estou conseguindo atualizar meu comprovante de renda porque fica dando erro e por causa disso não consigo contratar o empréstimo pessoal,me ajudem por favor.",nubank preciso da ajuda urgentemente de vocês em relação ao empréstimo pessoal porque tenho oferta e não consigo contratálo orque não estou conseguindo atualizar meu comprovante de renda porque fica dando erro e por causa disso não consigo contratar o empréstimo pessoalme ajudem por favor
"@nubank eu já fiz isso,sou cliente quase 4 anos e eles demoram e não resolvem.","@nubank eu já fiz isso,sou cliente quase 4 anos e eles demoram e não resolvem.",nubank eu já fiz issosou cliente quase anos e eles demoram e não resolvem
"Empresa péssima cada dia que passa fica pior.
Bloquearam minha conta sem meu consentimento liguei e desligaram na minha cara.
ATENDENTE ANDREIA LIGAÇÃO ÀS 14:41 / 11/04/2025
Assim que desbloquear além de eu sair desse banco vou avisar a todos do agronegócio como vocês tratam os clientes.
Sem falar que toda hora está em manutenção HORRÍVEL","Empresa péssima cada dia que passa fica pior.
Bloquearam minha conta sem meu consentimento liguei e desligaram na minha cara.
ATENDENTE ANDREIA LIGAÇÃO ÀS 14:41 / 11/04/2025
Assim que desbloquear além de eu sair desse banco vou avisar a todos do agronegócio como vocês tratam os clientes.
Sem falar que toda hora está em manutenção HORRÍVEL",mpresa péssima cada dia que passa fica pior loquearam minha conta sem meu consentimento liguei e desligaram na minha cara ÇÃ À ssim que desbloquear além de eu sair desse banco vou avisar a todos do agronegócio como vocês tratam os clientes em falar que toda hora está em manutenção Í
Porque o Pix não está funcionando,Porque o Pix não está funcionando,orque o ix não está funcionando
O Pix não tá funcionando,O Pix não tá funcionando,ix não tá funcionando
@nubank então sou azarada! Não estou nada satisfeita,@nubank então sou azarada! Não estou nada satisfeita,nubank então sou azarada ão estou nada satisfeita
@cristiane.moraes.581 😢,@cristiane.moraes.581 crying_face,cristianemoraes cryingface
Olá bom dia,Olá bom dia,lá bom dia
É fácil inovar bloqueando o dinheiro das pessoas. Com dinheiro dos outros até eu inovo.,É fácil inovar bloqueando o dinheiro das pessoas. Com dinheiro dos outros até eu inovo.,É fácil inovar bloqueando o dinheiro das pessoas om dinheiro dos outros até eu inovo
@nubank me libera o cartão ultravioleta por favor! Faz tempo que estou esperando,@nubank me libera o cartão ultravioleta por favor! Faz tempo que estou esperando,nubank me libera o cartão ultravioleta por favor az tempo que estou esperando
@viktoor_gabriel to fazendo o mesmo,@viktoor_gabriel to fazendo o mesmo,viktoorgabriel to fazendo o mesmo
@nubank vcs aceitam projetos para investir ou algum investidor anjo? Ou pelo projeto é possível conseguir algum capital para fazer esse projeto e abrir um negócio?,@nubank vcs aceitam projetos para investir ou algum investidor anjo? Ou pelo projeto é possível conseguir algum capital para fazer esse projeto e abrir um negócio?,nubank vcs aceitam projetos para investir ou algum investidor anjo u pelo projeto é possível conseguir algum capital para fazer esse projeto e abrir um negócio
Bora resolver as contas Bloqueada do Povo,Bora resolver as contas Bloqueada do Povo,ora resolver as contas loqueada do ovo
"Eu estava usando, mas não tive beneficio nenhum. Sequer um ""nu empresta"", voltei para o banco que usava","Eu estava usando, mas não tive beneficio nenhum. Sequer um ""nu empresta"", voltei para o banco que usava",u estava usando mas não tive beneficio nenhum equer um nu empresta voltei para o banco que usava
@nubank Fazia tudo isso.,@nubank Fazia tudo isso.,nubank azia tudo isso
Oi,Oi,i
Oi,Oi,i
Fui entrar na minha conta e simplesmente excluíram!,Fui entrar na minha conta e simplesmente excluíram!,ui entrar na minha conta e simplesmente excluíram
"Minha conta está com instabilidade, não está fazendo Pix e nem lendo os QR code","Minha conta está com instabilidade, não está fazendo Pix e nem lendo os QR code",inha conta está com instabilidade não está fazendo ix e nem lendo os code
Já está bom o aplicativo??,Já está bom o aplicativo??,á está bom o aplicativo
Meu Deus eu não consigo fazer um Pix hoje!!! Desde cedo tentando,Meu Deus eu não consigo fazer um Pix hoje!!! Desde cedo tentando,eu eus eu não consigo fazer um ix hoje esde cedo tentando
💜e mt bom,purple_hearte mt bom,purplehearte mt bom
Quero fazer empréstimo no banco,Quero fazer empréstimo no banco,uero fazer empréstimo no banco
Nubank Não libera meu crédito de jeito nenhum,Nubank Não libera meu crédito de jeito nenhum,ubank ão libera meu crédito de jeito nenhum
"@nubank ai que está ! Vocês são tão levianos, que sequer se dão o trabalho em responder a o que eu postei ! 
Diz aí, porque os nucoins que acumulei por 1 ano, não pode mais ser convertido em dinheiro de volta a mim ? 
Parem de se esquivar, gastam rios de dinheiro com marketing mas o atendimento de vocês é precário !","@nubank ai que está ! Vocês são tão levianos, que sequer se dão o trabalho em responder a o que eu postei ! 
Diz aí, porque os nucoins que acumulei por 1 ano, não pode mais ser convertido em dinheiro de volta a mim ? 
Parem de se esquivar, gastam rios de dinheiro com marketing mas o atendimento de vocês é precário !",nubank ai que está ocês são tão levianos que sequer se dão o trabalho em responder a o que eu postei iz aí porque os nucoins que acumulei por ano não pode mais ser convertido em dinheiro de volta a mim arem de se esquivar gastam rios de dinheiro com marketing mas o atendimento de vocês é precário
"A nubank está se recusando a mudar a data de vencimento do meu cartão e me obrigando a pagar juros, são 4 meses tentando e eles fazendo de propósito. Inacreditável. Pior banco.","A nubank está se recusando a mudar a data de vencimento do meu cartão e me obrigando a pagar juros, são 4 meses tentando e eles fazendo de propósito. Inacreditável. Pior banco.",nubank está se recusando a mudar a data de vencimento do meu cartão e me obrigando a pagar juros são meses tentando e eles fazendo de propósito nacreditável ior banco
INOVADORA ? JURA ? COMO ME EXPLICA ? BLOQUEANDO E CANCELANDO CONTA DO TRABALHADOR E RETENDO O VALOR IMPOSSIBILITANDO DE FAZER PAGAMENTO E PIX ? SO SE FOR INOVADORA NO MODO DE COMO FAZER O CLIENTE IR PARAR NO HOSPITAL,INOVADORA ? JURA ? COMO ME EXPLICA ? BLOQUEANDO E CANCELANDO CONTA DO TRABALHADOR E RETENDO O VALOR IMPOSSIBILITANDO DE FAZER PAGAMENTO E PIX ? SO SE FOR INOVADORA NO MODO DE COMO FAZER O CLIENTE IR PARAR NO HOSPITAL,
"@nubank eu não tenho nenhum dessas opções, inclusive o atendimento disse que eu tinha até empréstimo. Me senti extremamente desrespeitada. Pois não tenho nenhuma dessas condições.","@nubank eu não tenho nenhum dessas opções, inclusive o atendimento disse que eu tinha até empréstimo. Me senti extremamente desrespeitada. Pois não tenho nenhuma dessas condições.",nubank eu não tenho nenhum dessas opções inclusive o atendimento disse que eu tinha até empréstimo e senti extremamente desrespeitada ois não tenho nenhuma dessas condições
