Comente,texto_sem_emojis,texto_sem_emojis_limpo,texto_final_en
Oi,Oi,i,i
Quero fazer minha senha.,Quero fazer minha senha.,uero fazer minha senha,I use my password
🙌👏🙌🙌😂😂,raising_handsclapping_handsraising_handsraising_handsface_with_tears_of_joyface_with_tears_of_joy,raisinghandsclappinghandsraisinghandsraisinghandsfacewithtearsofjoyfacewithtearsofjoy,raisinghandsclappinghandsraisinghandsraisinghandsfacewithtearsofjoyfacewithtearsofjoy
Por que apagam as minhas mensagens de reclamação?!,Por que apagam as minhas mensagens de reclamação?!,or que apagam as minhas mensagens de reclamação,or delete my complaint messages
"Banco pessimo, bloquearam minha conta sem motivo algum","Banco pessimo, bloquearam minha conta sem motivo algum",anco pessimo bloquearam minha conta sem motivo algum,Anco Pessimo blocked my account for no reason
E seguem roubando os clientes que compram cripto na plataformaz deveriam ter vergonha na cara,E seguem roubando os clientes que compram cripto na plataformaz deveriam ter vergonha na cara,seguem roubando os clientes que compram cripto na plataformaz deveriam ter vergonha na cara,continue stealing customers who buy crypto on platforms should be ashamed in the face
"@nubank algumas varias criptos nao obtiveram desvalorização como voces apontam na plataforma, ao contrario. Valorizaram. O que ocorre com a manipulacao da informacao na plataforma configura furto do investimento. Nao vou ligar para contato. Se quiserem evitar o escanda lo voces que me liguem.","@nubank algumas varias criptos nao obtiveram desvalorização como voces apontam na plataforma, ao contrario. Valorizaram. O que ocorre com a manipulacao da informacao na plataforma configura furto do investimento. Nao vou ligar para contato. Se quiserem evitar o escanda lo voces que me liguem.",nubank algumas varias criptos nao obtiveram desvalorização como voces apontam na plataforma ao contrario alorizaram que ocorre com a manipulacao da informacao na plataforma configura furto do investimento ao vou ligar para contato e quiserem evitar o escanda lo voces que me liguem,"Nubank Some several crypts have not been devalued as you point on the platform on the contrary, they have sought that it occurs with the information manipulation on the platform configures investment theft when I will turn on contact and want to avoid the mild to you who call me"
Gostaria de receber o estorno do meu dinheiro referente ao cancelamento de um serviço.,Gostaria de receber o estorno do meu dinheiro referente ao cancelamento de um serviço.,ostaria de receber o estorno do meu dinheiro referente ao cancelamento de um serviço,I would have to receive the reversal of my money regarding the cancellation of a service
"Desde as 17hs tentando abrir o aplicativo e só fica carregando infinitamente, já desinstalei, reinstalei e nada, e agora??","Desde as 17hs tentando abrir o aplicativo e só fica carregando infinitamente, já desinstalei, reinstalei e nada, e agora??",esde as hs tentando abrir o aplicativo e só fica carregando infinitamente já desinstalei reinstalei e nada e agora,these are trying to open the app and it is only loading infinitely already uninstalled I reinstalled and nothing and now
"@nubank Obrigada pela informação. Então, esse perfil @sofiahellena_nu passa golpes em clientes.","@nubank Obrigada pela informação. Então, esse perfil @sofiahellena_nu passa golpes em clientes.",nubank brigada pela informação ntão esse perfil sofiahellenanu passa golpes em clientes,Nubank Brigade for Information Ntão This profile Sofiahellenanu goes on blows to customers
Manu ícone ❤️,Manu ícone red_heart,anu ícone redheart,AU icon Redheart
"Não consigo parcelar a fatura, da ERRO!","Não consigo parcelar a fatura, da ERRO!",ão consigo parcelar a fatura da,I can install the invoice of the
o pix tem previsão de normalizar? já fiz tudo o que foi orientado e ainda não consigo fazer pix!,o pix tem previsão de normalizar? já fiz tudo o que foi orientado e ainda não consigo fazer pix!,o pix tem previsão de normalizar já fiz tudo o que foi orientado e ainda não consigo fazer pix,The pix is ​​expected to normalize I've done everything that has been oriented and I still can't do pix
"Eram pra ter algum suporte na bio pra ajudar, perdi meu celular e estou com dificuldade em entrar na minha conta por  causa da expressão facial!","Eram pra ter algum suporte na bio pra ajudar, perdi meu celular e estou com dificuldade em entrar na minha conta por  causa da expressão facial!",ram pra ter algum suporte na bio pra ajudar perdi meu celular e estou com dificuldade em entrar na minha conta por causa da expressão facial,ram to have some support in the bio to help I lost my cell phone and I have difficulty entering my account because of facial expression
Manu e as suas publis que a gente assiste até o final. Genial 😍,Manu e as suas publis que a gente assiste até o final. Genial smiling_face_with_heart-eyes,anu e as suas publis que a gente assiste até o final enial smilingfacewithhearteyes,Anu and his publis that we watch until the end of the enhance SmilingFaceWithhearteyes
"@nubank não foi resolvido. Até o momento o app continua com o mesmo problema, preciso urgentemente, não só eu mas todos os usuários do app que seja solucionado, e que vocês do suporte nos dê um retorno adequado com a solução.","@nubank não foi resolvido. Até o momento o app continua com o mesmo problema, preciso urgentemente, não só eu mas todos os usuários do app que seja solucionado, e que vocês do suporte nos dê um retorno adequado com a solução.",nubank não foi resolvido té o momento o app continua com o mesmo problema preciso urgentemente não só eu mas todos os usuários do app que seja solucionado e que vocês do suporte nos dê um retorno adequado com a solução,Nubank has not been resolved the moment the app continues with the same problem I urgently need not only me but all the app users that be solved and that you give us a proper return with the solution
💜💜💜💜💜💜💜💜💜💜,purple_heartpurple_heartpurple_heartpurple_heartpurple_heartpurple_heartpurple_heartpurple_heartpurple_heartpurple_heart,purpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheart,purpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheart
"Banco muito bom, só é um pouco ruim de aumentar limite, faz 1 ano e dois meses e continua o mesmo valor, mesmo usando como banco base pra receber o salário","Banco muito bom, só é um pouco ruim de aumentar limite, faz 1 ano e dois meses e continua o mesmo valor, mesmo usando como banco base pra receber o salário",anco muito bom só é um pouco ruim de aumentar limite faz ano e dois meses e continua o mesmo valor mesmo usando como banco base pra receber o salário,very good anco is just a little bad to increase limit years and two months and continues the same amount even using as a base bank to receive the salary
@nubank já fiz tudo isso. Um dia inteiro sem suporte e sem conseguir abrir a própria conta. Um absurdo,@nubank já fiz tudo isso. Um dia inteiro sem suporte e sem conseguir abrir a própria conta. Um absurdo,nubank já fiz tudo isso m dia inteiro sem suporte e sem conseguir abrir a própria conta m absurdo,Nubank I've done all of this all day without support and unable to open his own account absurd
👏👏👏,clapping_handsclapping_handsclapping_hands,clappinghandsclappinghandsclappinghands,clappinghandsclappinghandsclappinghands
"Fui sequestrado, ameaçado pra fazer pix, fiz um pix de 2.500 reais, mostrei o BOLETIM DE OCORRÊNCIA PRA ELES! E mesmo assim falaram que não tinha oque fazer! Esse banco não ajuda ninguém, NÃO USEM NUBANK, PIOR BANCO DO MUNDO","Fui sequestrado, ameaçado pra fazer pix, fiz um pix de 2.500 reais, mostrei o BOLETIM DE OCORRÊNCIA PRA ELES! E mesmo assim falaram que não tinha oque fazer! Esse banco não ajuda ninguém, NÃO USEM NUBANK, PIOR BANCO DO MUNDO",ui sequestrado ameaçado pra fazer pix fiz um pix de reais mostrei o Ê mesmo assim falaram que não tinha oque fazer sse banco não ajuda ninguém Ã,Ui kidnapped threatened to do pix I made a pix of reais I showed the ê so they said that I had no way to do this bank does not help anyone
"Aplicativo fora do ar a quase 24 horas, boletos vencendo e aí @nubank ?","Aplicativo fora do ar a quase 24 horas, boletos vencendo e aí @nubank ?",plicativo fora do ar a quase horas boletos vencendo e aí nubank,PLICATIVE OUT BREAK AT HOURS WINNING AND AI NUBANK
"Está assim mesmo. Para fazer um Pix está impossível. Eu falei com a @unicainstancia , e eles me ajudaram com isso.","Está assim mesmo. Para fazer um Pix está impossível. Eu falei com a @unicainstancia , e eles me ajudaram com isso.",stá assim mesmo ara fazer um ix está impossível u falei com a unicainstancia e eles me ajudaram com isso,This is how to do an IX is impossible I spoke with the uniqueness and they helped me with it
"Manu você realmente é surpreendente mulher!
👏🏻👏🏻😁♥️","Manu você realmente é surpreendente mulher!
clapping_hands_light_skin_toneclapping_hands_light_skin_tonebeaming_face_with_smiling_eyesheart_suit",anu você realmente é surpreendente mulher clappinghandslightskintoneclappinghandslightskintonebeamingfacewithsmilingeyesheartsuit,anu you really are surprising woman clappinghandslightskintoneclappinghandslightskintonebeamingfacewithsmilingyesheartsuit
App tá péssimo,App tá péssimo,pp tá péssimo,PP is terrible
💜,purple_heart,purpleheart,purpleheart
Do nada Cancelaram minha conta E Não Responde Mais Meus E-mail Quero Meu Dinheiro De Volta,Do nada Cancelaram minha conta E Não Responde Mais Meus E-mail Quero Meu Dinheiro De Volta,o nada ancelaram minha conta ão esponde ais eus mail uero eu inheiro e olta,Nada ancestry my account will sponde ais eus mail uero I inheiro and Olta
@carolmartinssantos01 consegui ligar,@carolmartinssantos01 consegui ligar,carolmartinssantos consegui ligar,Carolmartissantos managed to call
lascando meio mundo de pessoa e cobrando taxas altíssimas ta certíssimo.,lascando meio mundo de pessoa e cobrando taxas altíssimas ta certíssimo.,lascando meio mundo de pessoa e cobrando taxas altíssimas ta certíssimo,Lying half a world of person and charging very high rates
Como resolver esse limite para transações virtuais? Um saco usar Google Pay,Como resolver esse limite para transações virtuais? Um saco usar Google Pay,omo resolver esse limite para transações virtuais m saco usar oogle ay,Omo Solve this limit for virtual transactions M Bag Use Oogle ay
"@nubank ta fazendo pix não, vamo ver isso aí","@nubank ta fazendo pix não, vamo ver isso aí",nubank ta fazendo pix não vamo ver isso aí,Nubank is doing pix not going to see this there
app sem abrir! Por mais quantos dias???,app sem abrir! Por mais quantos dias???,app sem abrir or mais quantos dias,App without opening or more days
Alguém mais sem conseguir realizar pix?,Alguém mais sem conseguir realizar pix?,lguém mais sem conseguir realizar pix,Logize more unable to perform pix
@samillessss Simmm,@samillessss Simmm,samillessss immm,samillessss immm
@samillessss o meu não abre desde ontem!!! Cheia de coisa pra pagar,@samillessss o meu não abre desde ontem!!! Cheia de coisa pra pagar,samillessss o meu não abre desde ontem heia de coisa pra pagar,samillessss mine has not opened since yesterday heia of things to pay
"Meu banco está fora do ar e não consigo entrar em contato!!! Estou precisando fazer um pagamento, não tenho valores em outras contas.","Meu banco está fora do ar e não consigo entrar em contato!!! Estou precisando fazer um pagamento, não tenho valores em outras contas.",eu banco está fora do ar e não consigo entrar em contato stou precisando fazer um pagamento não tenho valores em outras contas,"I bank is out of the air and I can't get in touch, needing to make a payment I have no amounts in other accounts"
Não consigo entrar no app de vocês hoje . Podem me dar uma informação?,Não consigo entrar no app de vocês hoje . Podem me dar uma informação?,ão consigo entrar no app de vocês hoje odem me dar uma informação,I can get in your app today to give me some information
"Meu aplicativo continua fora do ar. Não consigo fazer pagamentos dos contratos. Já liguei várias vezes, não tenho até o momento nenhum tipo de solução. Aguardando procedimento interno.","Meu aplicativo continua fora do ar. Não consigo fazer pagamentos dos contratos. Já liguei várias vezes, não tenho até o momento nenhum tipo de solução. Aguardando procedimento interno.",eu aplicativo continua fora do ar ão consigo fazer pagamentos dos contratos á liguei várias vezes não tenho até o momento nenhum tipo de solução guardando procedimento interno,I application is still out of the air I can make contract payments I called several times I do not have any kind of solution storing internal procedure so far
@rayannebrr resolveu?,@rayannebrr resolveu?,rayannebrr resolveu,Rayannebrr solved
@leal__miih_ resolveu?,@leal__miih_ resolveu?,lealmiih resolveu,Lealmiih solved
@_caarol20 vc conseguiu cvs com eles? Eu liguei me exaltei mandou eu esperar 3 dias,@_caarol20 vc conseguiu cvs com eles? Eu liguei me exaltei mandou eu esperar 3 dias,caarol vc conseguiu cvs com eles u liguei me exaltei mandou eu esperar dias,caarol you got cvs with them u called I exalted myself sent me to wait days
"Nada , já se passaram mais de 3 dias e nada foi feito.","Nada , já se passaram mais de 3 dias e nada foi feito.",ada já se passaram mais de dias e nada foi feito,Ada has passed more than days and nothing has been done
@_caarol20 mds😢,@_caarol20 mdscrying_face,caarol mdscryingface,caarol mdscryingface
"@nubank é pra comentar sobre filmes ou problemas 🤷🏻‍♂️
Tema de filme - sobre endividados que conseguem dar a volta por cima .. deve ajudar a muitos (calma .. sem julgamentos)","@nubank é pra comentar sobre filmes ou problemas man_shrugging_light_skin_tone
Tema de filme - sobre endividados que conseguem dar a volta por cima .. deve ajudar a muitos (calma .. sem julgamentos)",nubank é pra comentar sobre filmes ou problemas manshrugginglightskintone ema de filme sobre endividados que conseguem dar a volta por cima deve ajudar a muitos calma sem julgamentos,Nubank is to comment on movies or problems manshruginglightskintone from indebted movie that can go around should help many calm without judgments
Bloqueia conta sem motivo com dinheiro das pessoas,Bloqueia conta sem motivo com dinheiro das pessoas,loqueia conta sem motivo com dinheiro das pessoas,LOQUEIA counts without reason with people's money
Não explicaram,Não explicaram,ão explicaram,They explained
Bloquearam!!!!,Bloquearam!!!!,loquearam,LOQUE
Pior banco não recomendo pra ninguém!!! Tive a conta bloqueada e encerrada e meu dinheiro até agora nada. Só transtorno,Pior banco não recomendo pra ninguém!!! Tive a conta bloqueada e encerrada e meu dinheiro até agora nada. Só transtorno,ior banco não recomendo pra ninguém ive a conta bloqueada e encerrada e meu dinheiro até agora nada ó transtorno,Ior Bank I do not recommend it to anyone you have a blocked and closed account and my money so far nothing of disorder
@nubank vcs tinham q me devolver isso com juros!!!!,@nubank vcs tinham q me devolver isso com juros!!!!,nubank vcs tinham q me devolver isso com juros,Nubank you guys had to return this with interest
falta o consórcio,falta o consórcio,falta o consórcio,the consortium
"Havia uma linha de crédito disponível para mim, e ao realizar a simulação e tentar contratar o empréstimo — com o objetivo de investir em um negócio que já estava sendo planejado — a Nubank simplesmente não aprovou a solicitação. Diante disso, questiono: qual o sentido de disponibilizar uma opção com limite pré-aprovado, se, no momento da contratação, ela não pode ser concretizada? Ao menos, deveria haver a possibilidade de realizar uma nova simulação com um valor inferior. No entanto, não só houve a negativa, como também a remoção de todo o limite que estava previamente disponível. Sempre utilizei os serviços da Nubank de forma responsável, mantendo em dia os pagamentos de empréstimos e faturas. E, diante de tudo isso, qual foi a vantagem para mim? Nenhuma. Agora, terei que migrar para outra instituição que me ofereça condições mais adequadas às minhas necessidades.","Havia uma linha de crédito disponível para mim, e ao realizar a simulação e tentar contratar o empréstimo — com o objetivo de investir em um negócio que já estava sendo planejado — a Nubank simplesmente não aprovou a solicitação. Diante disso, questiono: qual o sentido de disponibilizar uma opção com limite pré-aprovado, se, no momento da contratação, ela não pode ser concretizada? Ao menos, deveria haver a possibilidade de realizar uma nova simulação com um valor inferior. No entanto, não só houve a negativa, como também a remoção de todo o limite que estava previamente disponível. Sempre utilizei os serviços da Nubank de forma responsável, mantendo em dia os pagamentos de empréstimos e faturas. E, diante de tudo isso, qual foi a vantagem para mim? Nenhuma. Agora, terei que migrar para outra instituição que me ofereça condições mais adequadas às minhas necessidades.",avia uma linha de crédito disponível para mim e ao realizar a simulação e tentar contratar o empréstimo com o objetivo de investir em um negócio que já estava sendo planejado a ubank simplesmente não aprovou a solicitação iante disso questiono qual o sentido de disponibilizar uma opção com limite préaprovado se no momento da contratação ela não pode ser concretizada o menos deveria haver a possibilidade de realizar uma nova simulação com um valor inferior o entanto não só houve a negativa como também a remoção de todo o limite que estava previamente disponível empre utilizei os serviços da ubank de forma responsável mantendo em dia os pagamentos de empréstimos e faturas diante de tudo isso qual foi a vantagem para mim enhuma gora terei que migrar para outra instituição que me ofereça condições mais adequadas às minhas necessidades,"Avia a line of credit available to me and when performing the simulation and trying to hire the loan to invest in a business that was already planned UBANK simply not approved the requesting request that the sense of providing an option with pre -approved limit if at the time of hiring it can not be realized the least should be able to make a new simulation with a lower value, but there was not only the negative but also the limit of the limit that the limit I was previously available I used Ubank services responsibly by keeping loan payments and invoices in the face of all this what was the advantage for me I will have to migrate to another institution that offers me more appropriate conditions to my needs"
Nubank não ajuda e n resolve meu problema só me manda msg automática,Nubank não ajuda e n resolve meu problema só me manda msg automática,ubank não ajuda e n resolve meu problema só me manda msg automática,Ubank doesn't help and n solves my problem just send me automatic msg
@ciceroivanildo.alvezdelima é o mercado pago ✅,@ciceroivanildo.alvezdelima é o mercado pago check_mark_button,ciceroivanildoalvezdelima é o mercado pago checkmarkbutton,ciceroivaNildoLadoDelima is the paid checkmarkbutton market
@biancaccoutinho conseguiu? Tô na mesma,@biancaccoutinho conseguiu? Tô na mesma,biancaccoutinho conseguiu ô na mesma,Biancaccoutinho got it in the same
@lucasflorezz conseguiu ?,@lucasflorezz conseguiu ?,lucasflorezz conseguiu,Lucasflorezz managed
"@thayssalopess1 consegui o meu dinheiro de volta no mesmo dia que fiz a reclamação aqui no instagram, mas a conta segue bloqueada sem nenhum motivo, não recomendo usar nubank, aconteceu a mesma coisa com alguns conhecidos","@thayssalopess1 consegui o meu dinheiro de volta no mesmo dia que fiz a reclamação aqui no instagram, mas a conta segue bloqueada sem nenhum motivo, não recomendo usar nubank, aconteceu a mesma coisa com alguns conhecidos",thayssalopess consegui o meu dinheiro de volta no mesmo dia que fiz a reclamação aqui no instagram mas a conta segue bloqueada sem nenhum motivo não recomendo usar nubank aconteceu a mesma coisa com alguns conhecidos,Thayssalopess got my money back the same day I made the complaint here on Instagram but the account is blocked for no reason not to use Nubank happened the same thing with some acquaintances
@thayssalopess1 sim. Depôs de 7 dias úteis,@thayssalopess1 sim. Depôs de 7 dias úteis,thayssalopess sim epôs de dias úteis,Thayssalopess yes Epotos of business days
"@lucasflorezz depois de quantos dias desde que foi bloqueado vc conseguiu receber ? Tô desesperada, tô com 3500 na conta com a conta cancelada","@lucasflorezz depois de quantos dias desde que foi bloqueado vc conseguiu receber ? Tô desesperada, tô com 3500 na conta com a conta cancelada",lucasflorezz depois de quantos dias desde que foi bloqueado vc conseguiu receber ô desesperada tô com na conta com a conta cancelada,Lucasflorezz After how many days since it was blocked you managed to receive ô desperate with the account with the canceled account
"@thayssalopess1 eles passam um prazo de 7 dias, mas no meu caso foi depois de 2 semanas, e só pagaram depois de eu ter entrando com reclamação no reclame aqui, reclamação no banco central e aqui no instagram, aí mandaram até um direct para mim","@thayssalopess1 eles passam um prazo de 7 dias, mas no meu caso foi depois de 2 semanas, e só pagaram depois de eu ter entrando com reclamação no reclame aqui, reclamação no banco central e aqui no instagram, aí mandaram até um direct para mim",thayssalopess eles passam um prazo de dias mas no meu caso foi depois de semanas e só pagaram depois de eu ter entrando com reclamação no reclame aqui reclamação no banco central e aqui no instagram aí mandaram até um direct para mim,Thayssalopess they spend a deadline of days but in my case it was after weeks and only paid after I had a complaint in the complaint here complaint in the Central Bank and here on Instagram there they even sent a direct for me
@lucasflorezz como faço pra abrir reclamação no banco central?,@lucasflorezz como faço pra abrir reclamação no banco central?,lucasflorezz como faço pra abrir reclamação no banco central,Lucasflorezz How do I open complaints in the Central Bank
"@thayssalopess1 escreve reclamação banco central no google, o primeiro site é deles","@thayssalopess1 escreve reclamação banco central no google, o primeiro site é deles",thayssalopess escreve reclamação banco central no google o primeiro site é deles,Thayssalopess writes Central Bank Complaint on Google The first site is theirs
Jr,Jr,r,r
Nice try Diddy,Nice try Diddy,ice try iddy,ice try iddy
@viivi.santoxs,@viivi.santoxs,viivisantoxs,wage
"Kk, sfd","Kk, sfd",k sfd,K SFD
@annabagunceira é vc? ❤️😱,@annabagunceira é vc? red_heartface_screaming_in_fear,annabagunceira é vc redheartfacescreaminginfear,Annabagnceira is you redheartfacescreaminginfe
"@gilsonsousa830 👍 tchau adeus, nos vemos no inferno","@gilsonsousa830 thumbs_up tchau adeus, nos vemos no inferno",gilsonsousa thumbsup tchau adeus nos vemos no inferno,gilsonsousa thumbsup tchau goodbye we see in hell
Não entendi a piada?,Não entendi a piada?,ão entendi a piada,I understand the joke
Amem,Amem,mem,mem
Só o primeiro filme é bom,Só o primeiro filme é bom,ó o primeiro filme é bom,O the first movie is good
"Nubank rouba, fizeram uma compra no meu cartão!","Nubank rouba, fizeram uma compra no meu cartão!",ubank rouba fizeram uma compra no meu cartão,Ubank steals made a purchase on my card
"Eu lavo meu carro e faço tudo isso. Por prazer mesmo. Já tentei colocar aqui em Salvador em Locais que dizem fazer detalhamento e o carro vem com lavagem básica. Não me importo que cobrem, mas quero o trabalho bom que eu pedi.","Eu lavo meu carro e faço tudo isso. Por prazer mesmo. Já tentei colocar aqui em Salvador em Locais que dizem fazer detalhamento e o carro vem com lavagem básica. Não me importo que cobrem, mas quero o trabalho bom que eu pedi.",u lavo meu carro e faço tudo isso or prazer mesmo á tentei colocar aqui em alvador em ocais que dizem fazer detalhamento e o carro vem com lavagem básica ão me importo que cobrem mas quero o trabalho bom que eu pedi,I wash my car and do it all or pleasure I tried to put here in alvador in Ocis who say they do detail and the car comes with basic washing I care to cover but I want the good work that I ordered
.,.,,
Devolvam meu dinheiro desbloquei minha conta,Devolvam meu dinheiro desbloquei minha conta,evolvam meu dinheiro desbloquei minha conta,Evolve my money I unlock my account
"@nubank  já fiz tudo que vocês  mandou , já liguei e vocês não tem explicação para o que aconteceu simplesmente só fizeram ... Eu vou ter mesmo que ir no procon ou manda minhas contas para vocês resolverem e pagar pq eu não posso esperar 100 dias ou 10 dias cada dia uma data vocês me dão.","@nubank  já fiz tudo que vocês  mandou , já liguei e vocês não tem explicação para o que aconteceu simplesmente só fizeram ... Eu vou ter mesmo que ir no procon ou manda minhas contas para vocês resolverem e pagar pq eu não posso esperar 100 dias ou 10 dias cada dia uma data vocês me dão.",nubank já fiz tudo que vocês mandou já liguei e vocês não tem explicação para o que aconteceu simplesmente só fizeram u vou ter mesmo que ir no procon ou manda minhas contas para vocês resolverem e pagar pq eu não posso esperar dias ou dias cada dia uma data vocês me dão,Nubank I've done everything you sent I've called and you have no explanation for what happened simply have done u I will really have to go to Procon or send my bills for you to solve and pay because I can not wait days or days each day a date you give me
Joselito,Joselito,oselito,OSELITO
Como Maraiah que estava em your feet e ablastes for ela que this é the good parte que nevera que nevera sara tiureidaaa,Como Maraiah que estava em your feet e ablastes for ela que this é the good parte que nevera que nevera sara tiureidaaa,omo araiah que estava em your feet e ablastes for ela que this é the good parte que nevera que nevera sara tiureidaaa,omo Araiah who was in your feet and ablasts for her that this is the good part that snowra that snowra sara tiuridaaaa
"31.03.25 Olá Nubank 
O sistema de vocês está me cobrando um valor como se eu tivesse pego empréstimo. Sendo que eu não Pedi e não recebi. 
Meu nome já foi para o SPC e eu não consigo resolver. 
Vocês podem me ajudar ?","31.03.25 Olá Nubank 
O sistema de vocês está me cobrando um valor como se eu tivesse pego empréstimo. Sendo que eu não Pedi e não recebi. 
Meu nome já foi para o SPC e eu não consigo resolver. 
Vocês podem me ajudar ?",lá ubank sistema de vocês está me cobrando um valor como se eu tivesse pego empréstimo endo que eu não edi e não recebi eu nome já foi para o e eu não consigo resolver ocês podem me ajudar,There Ubank your system is charging me a value as if I had taken loan and I have not Edi and I did not receive name has gone to and I can not solve you can help me
"Não recomendo esse banco travou meu dinheiro que esta lá , fiquei sem pagar minha conta","Não recomendo esse banco travou meu dinheiro que esta lá , fiquei sem pagar minha conta",ão recomendo esse banco travou meu dinheiro que esta lá fiquei sem pagar minha conta,I also recommend this bank to have looked at my money that is there I was not paying my bill
"@nubank o e-mail não explicou nada correto sobre o meu caso , sou cliente de vocês a mais de 6 anos , aí no do 29/03/25 vocês desativaram a minha conta com meu dinheiro lá","@nubank o e-mail não explicou nada correto sobre o meu caso , sou cliente de vocês a mais de 6 anos , aí no do 29/03/25 vocês desativaram a minha conta com meu dinheiro lá",nubank o email não explicou nada correto sobre o meu caso sou cliente de vocês a mais de anos aí no do vocês desativaram a minha conta com meu dinheiro lá,Nubank The email did not explain the right thing about my case I am a client of you for over years there in you disabled my account with my money there
Ela parece a mãe da elora,Ela parece a mãe da elora,la parece a mãe da elora,La looks like Elora's mother
É muito lindo o filme !,É muito lindo o filme !,É muito lindo o filme,The movie is very beautiful
Nubak já te paguei tire meu nome do registrato!,Nubak já te paguei tire meu nome do registrato!,ubak já te paguei tire meu nome do registrato,Ubak already paid you take my name from the record
@mikaandradee_ resolveu?,@mikaandradee_ resolveu?,mikaandradee resolveu,Mikaandradee solved
Não,Não,ão,to the
@_caarol20 desbloquearam?,@_caarol20 desbloquearam?,caarol desbloquearam,caarol unlocked
Não,Não,ão,to the
Assisti,Assisti,ssisti,smith
Mari palma 🥰💓💓,Mari palma smiling_face_with_heartsbeating_heartbeating_heart,ari palma smilingfacewithheartsbeatingheartbeatingheart,ari palma smilingfacewithheartsbeatingheartbeatingheart
@nubank o meu também mas tava tudo pago... Uma pena pois eu gostava de trabalhar com esse cartão... O ambiente visual era muito bom pra acompanhar meus gastos..,@nubank o meu também mas tava tudo pago... Uma pena pois eu gostava de trabalhar com esse cartão... O ambiente visual era muito bom pra acompanhar meus gastos..,nubank o meu também mas tava tudo pago ma pena pois eu gostava de trabalhar com esse cartão ambiente visual era muito bom pra acompanhar meus gastos,nubank mine too but everything was paid in pity because I liked to work with this visual environment was very good to follow my spending
"Aí @nubank quando que vão liberar meu empréstimo, sempre tive em dia com vcs,  vou ter q migrar para a caixa","Aí @nubank quando que vão liberar meu empréstimo, sempre tive em dia com vcs,  vou ter q migrar para a caixa",í nubank quando que vão liberar meu empréstimo sempre tive em dia com vcs vou ter q migrar para a caixa,í nubank when they will release my loan I always had up to date with you I will have to migrate to the box
Poderiam em vez disso arrumar um jeito de depositar dinheiro em espécie mais rápido na conta com outras opções em vez de boleto. A gente perde ofertas limitadas por causa disso.,Poderiam em vez disso arrumar um jeito de depositar dinheiro em espécie mais rápido na conta com outras opções em vez de boleto. A gente perde ofertas limitadas por causa disso.,oderiam em vez disso arrumar um jeito de depositar dinheiro em espécie mais rápido na conta com outras opções em vez de boleto gente perde ofertas limitadas por causa disso,I hate instead of getting a way to put money faster in the account with other options instead of boleto people lose limited offers because of that
@gilsonsousa830 jura?!,@gilsonsousa830 jura?!,gilsonsousa jura,Gilsonsousa jura
@gilsonsousa830 que bom que está se divertindo,@gilsonsousa830 que bom que está se divertindo,gilsonsousa que bom que está se divertindo,Gilsonsousa Glad you are having fun
@_evellynzsx_ Olivia quer que eu vá?!,@_evellynzsx_ Olivia quer que eu vá?!,evellynzsx livia quer que eu vá,Evellynzsx Livia wants me to go
"@nubank Sim, compreendo. Ainda sim um banco tão acessível e único poderia encontrar uma nova ferramenta pra esse dinheiro cair na hora. Em 3 dias úteis já perdi minha oferta limitada…","@nubank Sim, compreendo. Ainda sim um banco tão acessível e único poderia encontrar uma nova ferramenta pra esse dinheiro cair na hora. Em 3 dias úteis já perdi minha oferta limitada…",nubank im compreendo inda sim um banco tão acessível e único poderia encontrar uma nova ferramenta pra esse dinheiro cair na hora m dias úteis já perdi minha oferta limitada,Nubank im understand as a bank such accessible and unique could find a new tool for this money to fall on time m business days I already lost my limited offer
👊,oncoming_fist,oncomingfist,oncomingfist
Amém.🙏,Amém.folded_hands,mémfoldedhands,Mémfoldedhands
Nice try diddy,Nice try diddy,ice try diddy,ice try diddy
Dito isso até o técnico tomou vermelho e o Veiga errou o pênalti né xiu ent🔪🐷,Dito isso até o técnico tomou vermelho e o Veiga errou o pênalti né xiu entkitchen_knifepig_face,ito isso até o técnico tomou vermelho e o eiga errou o pênalti né xiu entkitchenknifepigface,This even the coach took red and the eiga missed the penalty right Xiu entkitchenkniferpigface
Pqp.,Pqp.,qp,qp
Mm,Mm,m,m
@luiz_d_carlos e,@luiz_d_carlos e,luizdcarlos e,Luizdcarlos and
Lll,Lll,ll,ll
Eu ☀,Eu sun,u sun,u sun
"Meu limite tá 400 conto a mó cota, preciso de mais limite","Meu limite tá 400 conto a mó cota, preciso de mais limite",eu limite tá conto a mó cota preciso de mais limite,I limit it is counting the furniture I need more limit
Tá velhinha,Tá velhinha,á velhinha,old lady
@nubank  responda direct,@nubank  responda direct,nubank responda direct,Nubank Answer Direct
Pq  nubank não aumenta limite mesmo pagando tudo certo sem atraso a mais de 2 anos? Não sai de de 400,Pq  nubank não aumenta limite mesmo pagando tudo certo sem atraso a mais de 2 anos? Não sai de de 400,q nubank não aumenta limite mesmo pagando tudo certo sem atraso a mais de anos ão sai de de,q Nubank does not increase limit even paying everything right without delay for over years
Hj 5$ é só o wifi affs,Hj 5$ é só o wifi affs,j é só o wifi affs,J It's just the wifi affs
