Comente,texto_sem_emojis,texto_sem_emojis_limpo,texto_final_en,texto_final_en_limpo,Tokens_lematizados_texto_final_en,Tokens_lematizados_sem_stopwords_texto_final_en,texto_final_en_processado_spacy
"Prezados,

Venho por meio deste expressar minha total insatisfação com a conduta adotada pelo Nubank em relação ao bloqueio e posterior cancelamento da minha conta, além da retenção indevida dos valores que nela se encontravam.

Ressalto que nenhum comunicado prévio foi feito, tampouco foi oferecida qualquer justificativa clara ou prazo para liberação dos meus recursos. Tal prática, além de abusiva, viola os princípios do Código de Defesa do Consumidor e a regulamentação do Banco Central, uma vez que não se pode reter valores de um cliente sem processo legal, decisão judicial ou justificativa formal plausível.

Reitero que tomei as devidas providências legais, incluindo registros em órgãos de defesa do consumidor e comunicação formal ao Banco Central, e reservo-me ao direito de buscar reparação judicial por eventuais danos causados.

Solicito a liberação imediata dos valores retidos e esclarecimento urgente sobre o motivo do bloqueio e encerramento da conta.","Prezados,

Venho por meio deste expressar minha total insatisfação com a conduta adotada pelo Nubank em relação ao bloqueio e posterior cancelamento da minha conta, além da retenção indevida dos valores que nela se encontravam.

Ressalto que nenhum comunicado prévio foi feito, tampouco foi oferecida qualquer justificativa clara ou prazo para liberação dos meus recursos. Tal prática, além de abusiva, viola os princípios do Código de Defesa do Consumidor e a regulamentação do Banco Central, uma vez que não se pode reter valores de um cliente sem processo legal, decisão judicial ou justificativa formal plausível.

Reitero que tomei as devidas providências legais, incluindo registros em órgãos de defesa do consumidor e comunicação formal ao Banco Central, e reservo-me ao direito de buscar reparação judicial por eventuais danos causados.

Solicito a liberação imediata dos valores retidos e esclarecimento urgente sobre o motivo do bloqueio e encerramento da conta.",rezados enho por meio deste expressar minha total insatisfação com a conduta adotada pelo ubank em relação ao bloqueio e posterior cancelamento da minha conta além da retenção indevida dos valores que nela se encontravam essalto que nenhum comunicado prévio foi feito tampouco foi oferecida qualquer justificativa clara ou prazo para liberação dos meus recursos al prática além de abusiva viola os princípios do ódigo de efesa do onsumidor e a regulamentação do anco entral uma vez que não se pode reter valores de um cliente sem processo legal decisão judicial ou justificativa formal plausível eitero que tomei as devidas providências legais incluindo registros em órgãos de defesa do consumidor e comunicação formal ao anco entral e reservome ao direito de buscar reparação judicial por eventuais danos causados olicito a liberação imediata dos valores retidos e esclarecimento urgente sobre o motivo do bloqueio e encerramento da conta,Prayed by expressing my total dissatisfaction with the conduct adopted by Ubank regarding the blockade and subsequent cancellation of my account beyond the improper retention of the amounts that were in it that no prior statement was made of any clear justification or deadline for release of my resources and abusive violates the principles of the Onsuer's Eprification Odod Since the amounts of a client without legal process may not be retained without legal decision or formal plausible justification that I have taken the appropriate legal measures including records in consumer protection and formal communication to the entrepreneur and reserved for the right to seek judicial reparation for any damage caused by the immediate release of retained amounts and the reasons for blocking and closing the account.,prayed by expressing my total dissatisfaction with the conduct adopted by ubank regarding the blockade and subsequent cancellation of my account beyond the improper retention of the amounts that were in it that no prior statement was made of any clear justification or deadline for release of my resources and abusive violates the principles of the onsuers eprification odod since the amounts of a client without legal process may not be retained without legal decision or formal plausible justification that i have taken the appropriate legal measures including records in consumer protection and formal communication to the entrepreneur and reserved for the right to seek judicial reparation for any damage caused by the immediate release of retained amounts and the reasons for blocking and closing the account,"['pray', 'by', 'express', 'my', 'total', 'dissatisfaction', 'with', 'the', 'conduct', 'adopt', 'by', 'ubank', 'regard', 'the', 'blockade', 'and', 'subsequent', 'cancellation', 'of', 'my', 'account', 'beyond', 'the', 'improper', 'retention', 'of', 'the', 'amount', 'that', 'be', 'in', 'it', 'that', 'no', 'prior', 'statement', 'be', 'make', 'of', 'any', 'clear', 'justification', 'or', 'deadline', 'for', 'release', 'of', 'my', 'resource', 'and', 'abusive', 'violate', 'the', 'principle', 'of', 'the', 'onsuer', 'eprification', 'odod', 'since', 'the', 'amount', 'of', 'a', 'client', 'without', 'legal', 'process', 'may', 'not', 'be', 'retain', 'without', 'legal', 'decision', 'or', 'formal', 'plausible', 'justification', 'that', 'I', 'have', 'take', 'the', 'appropriate', 'legal', 'measure', 'include', 'record', 'in', 'consumer', 'protection', 'and', 'formal', 'communication', 'to', 'the', 'entrepreneur', 'and', 'reserve', 'for', 'the', 'right', 'to', 'seek', 'judicial', 'reparation', 'for', 'any', 'damage', 'cause', 'by', 'the', 'immediate', 'release', 'of', 'retain', 'amount', 'and', 'the', 'reason', 'for', 'block', 'and', 'close', 'the', 'account']","['pray', 'express', 'total', 'dissatisfaction', 'conduct', 'adopt', 'ubank', 'regard', 'blockade', 'subsequent', 'cancellation', 'account', 'beyond', 'improper', 'retention', 'amount', 'prior', 'statement', 'make', 'clear', 'justification', 'deadline', 'release', 'resource', 'abusive', 'violate', 'principle', 'onsuer', 'eprification', 'odod', 'since', 'amount', 'client', 'without', 'legal', 'process', 'may', 'retain', 'without', 'legal', 'decision', 'formal', 'plausible', 'justification', 'I', 'take', 'appropriate', 'legal', 'measure', 'include', 'record', 'consumer', 'protection', 'formal', 'communication', 'entrepreneur', 'reserve', 'right', 'seek', 'judicial', 'reparation', 'damage', 'cause', 'immediate', 'release', 'retain', 'amount', 'reason', 'block', 'close', 'account']",pray express total dissatisfaction conduct adopt ubank regard blockade subsequent cancellation account beyond improper retention amount prior statement make clear justification deadline release resource abusive violate principle onsuer eprification odod since amount client without legal process may retain without legal decision formal plausible justification I take appropriate legal measure include record consumer protection formal communication entrepreneur reserve right seek judicial reparation damage cause immediate release retain amount reason block close account
"Venho por meio deste expressar minha total insatisfação com a conduta adotada pelo Nubank em relação ao bloqueio e posterior cancelamento da minha conta, além da retenção indevida dos valores que nela se encontravam.
Ressalto que nenhum comunicado prévio foi feito, tampouco foi oferecida qualquer justificativa clara ou prazo para liberação dos meus recursos. Tal prática, além de abusiva, viola os princípios do Código de Defesa do Consumidor e a regulamentação do Banco Central, uma vez que não se pode reter valores de um cliente sem processo legal, decisão judicial ou justificativa formal plausível.
Reitero que tomei as devidas providências legais, incluindo registros em órgãos de defesa do consumidor e comunicação formal ao Banco Central, e reservo-me ao direito de buscar reparação judicial por eventuais danos causados.
Solicito a liberação imediata dos valores retidos e esclarecimento urgente sobre o motivo do bloqueio e encerramento da conta.","Venho por meio deste expressar minha total insatisfação com a conduta adotada pelo Nubank em relação ao bloqueio e posterior cancelamento da minha conta, além da retenção indevida dos valores que nela se encontravam.
Ressalto que nenhum comunicado prévio foi feito, tampouco foi oferecida qualquer justificativa clara ou prazo para liberação dos meus recursos. Tal prática, além de abusiva, viola os princípios do Código de Defesa do Consumidor e a regulamentação do Banco Central, uma vez que não se pode reter valores de um cliente sem processo legal, decisão judicial ou justificativa formal plausível.
Reitero que tomei as devidas providências legais, incluindo registros em órgãos de defesa do consumidor e comunicação formal ao Banco Central, e reservo-me ao direito de buscar reparação judicial por eventuais danos causados.
Solicito a liberação imediata dos valores retidos e esclarecimento urgente sobre o motivo do bloqueio e encerramento da conta.",enho por meio deste expressar minha total insatisfação com a conduta adotada pelo ubank em relação ao bloqueio e posterior cancelamento da minha conta além da retenção indevida dos valores que nela se encontravam essalto que nenhum comunicado prévio foi feito tampouco foi oferecida qualquer justificativa clara ou prazo para liberação dos meus recursos al prática além de abusiva viola os princípios do ódigo de efesa do onsumidor e a regulamentação do anco entral uma vez que não se pode reter valores de um cliente sem processo legal decisão judicial ou justificativa formal plausível eitero que tomei as devidas providências legais incluindo registros em órgãos de defesa do consumidor e comunicação formal ao anco entral e reservome ao direito de buscar reparação judicial por eventuais danos causados olicito a liberação imediata dos valores retidos e esclarecimento urgente sobre o motivo do bloqueio e encerramento da conta,either by expressing my total dissatisfaction with the conduct adopted by Ubank regarding the blockade and subsequent cancellation of my account beyond the improper retention of the values ​​that were in it that no prior statement was made of any clear justification or deadline for release of my resources and abusive violates the principles of the unsembler's efesa. Since the values ​​of a client without legal process may not be retained without a formal judicial decision or plausible justification that I have taken the appropriate legal measures including records in consumer protection and formal communication to the entrepreneur and reserved for the right to seek judicial reparation for any damages caused by the immediate release of retained and enlightenment of the reason for blocking and closing the account.,either by expressing my total dissatisfaction with the conduct adopted by ubank regarding the blockade and subsequent cancellation of my account beyond the improper retention of the values that were in it that no prior statement was made of any clear justification or deadline for release of my resources and abusive violates the principles of the unsemblers efesa since the values of a client without legal process may not be retained without a formal judicial decision or plausible justification that i have taken the appropriate legal measures including records in consumer protection and formal communication to the entrepreneur and reserved for the right to seek judicial reparation for any damages caused by the immediate release of retained and enlightenment of the reason for blocking and closing the account,"['either', 'by', 'express', 'my', 'total', 'dissatisfaction', 'with', 'the', 'conduct', 'adopt', 'by', 'ubank', 'regard', 'the', 'blockade', 'and', 'subsequent', 'cancellation', 'of', 'my', 'account', 'beyond', 'the', 'improper', 'retention', 'of', 'the', 'value', 'that', 'be', 'in', 'it', 'that', 'no', 'prior', 'statement', 'be', 'make', 'of', 'any', 'clear', 'justification', 'or', 'deadline', 'for', 'release', 'of', 'my', 'resource', 'and', 'abusive', 'violate', 'the', 'principle', 'of', 'the', 'unsembler', 'efesa', 'since', 'the', 'value', 'of', 'a', 'client', 'without', 'legal', 'process', 'may', 'not', 'be', 'retain', 'without', 'a', 'formal', 'judicial', 'decision', 'or', 'plausible', 'justification', 'that', 'I', 'have', 'take', 'the', 'appropriate', 'legal', 'measure', 'include', 'record', 'in', 'consumer', 'protection', 'and', 'formal', 'communication', 'to', 'the', 'entrepreneur', 'and', 'reserve', 'for', 'the', 'right', 'to', 'seek', 'judicial', 'reparation', 'for', 'any', 'damage', 'cause', 'by', 'the', 'immediate', 'release', 'of', 'retained', 'and', 'enlightenment', 'of', 'the', 'reason', 'for', 'block', 'and', 'close', 'the', 'account']","['either', 'express', 'total', 'dissatisfaction', 'conduct', 'adopt', 'ubank', 'regard', 'blockade', 'subsequent', 'cancellation', 'account', 'beyond', 'improper', 'retention', 'value', 'prior', 'statement', 'make', 'clear', 'justification', 'deadline', 'release', 'resource', 'abusive', 'violate', 'principle', 'unsembler', 'efesa', 'since', 'value', 'client', 'without', 'legal', 'process', 'may', 'retain', 'without', 'formal', 'judicial', 'decision', 'plausible', 'justification', 'I', 'take', 'appropriate', 'legal', 'measure', 'include', 'record', 'consumer', 'protection', 'formal', 'communication', 'entrepreneur', 'reserve', 'right', 'seek', 'judicial', 'reparation', 'damage', 'cause', 'immediate', 'release', 'retained', 'enlightenment', 'reason', 'block', 'close', 'account']",either express total dissatisfaction conduct adopt ubank regard blockade subsequent cancellation account beyond improper retention value prior statement make clear justification deadline release resource abusive violate principle unsembler efesa since value client without legal process may retain without formal judicial decision plausible justification I take appropriate legal measure include record consumer protection formal communication entrepreneur reserve right seek judicial reparation damage cause immediate release retained enlightenment reason block close account
Mães brasileiras são assim 😂,Mães brasileiras são assim face_with_tears_of_joy,ães brasileiras são assim facewithtearsofjoy,Brazilian,brazilian,['brazilian'],['brazilian'],brazilian
Sou eu 😂,Sou eu face_with_tears_of_joy,ou eu facewithtearsofjoy,ou eu facewithtearsofjoy,ou eu facewithtearsofjoy,"['ou', 'eu', 'facewithtearsofjoy']","['ou', 'eu', 'facewithtearsofjoy']",ou eu facewithtearsofjoy
"Sim, e agente não podia falar com estranhos...aprendemos com as Adultas Premium...kkk","Sim, e agente não podia falar com estranhos...aprendemos com as Adultas Premium...kkk",im e agente não podia falar com estranhosaprendemos com as dultas remiumkkk,im and agent could not talk to strangely we had the Dulture Remiumkkk,im and agent could not talk to strangely we had the dulture remiumkkk,"['I', 'm', 'and', 'agent', 'could', 'not', 'talk', 'to', 'strangely', 'we', 'have', 'the', 'dulture', 'remiumkkk']","['I', 'agent', 'could', 'talk', 'strangely', 'dulture', 'remiumkkk']",I agent could talk strangely dulture remiumkkk
😂,face_with_tears_of_joy,facewithtearsofjoy,facewithtearsofjoy,facewithtearsofjoy,['facewithtearsofjoy'],['facewithtearsofjoy'],facewithtearsofjoy
"Fiz uma compra em janeiro e 5 dias depois cancelei.A empresa diz ter feito o reembolso em 06/02/2025,no entanto o Nubank afirma que não. Tô aguardando e nada.Cada vez q entro no chat pra saber é uma conversa diferente.","Fiz uma compra em janeiro e 5 dias depois cancelei.A empresa diz ter feito o reembolso em 06/02/2025,no entanto o Nubank afirma que não. Tô aguardando e nada.Cada vez q entro no chat pra saber é uma conversa diferente.",iz uma compra em janeiro e dias depois cancelei empresa diz ter feito o reembolso em no entanto o ubank afirma que não ô aguardando e nadaada vez q entro no chat pra saber é uma conversa diferente,Iz a purchase in January and days later canceled company says he had made the reimbursement in however Ubank says he doesn't wait and a swimming time I get in the chat to know is a different conversation,iz a purchase in january and days later canceled company says he had made the reimbursement in however ubank says he doesnt wait and a swimming time i get in the chat to know is a different conversation,"['iz', 'a', 'purchase', 'in', 'january', 'and', 'day', 'later', 'cancel', 'company', 'say', 'he', 'have', 'make', 'the', 'reimbursement', 'in', 'however', 'ubank', 'say', 'he', 'do', 'not', 'wait', 'and', 'a', 'swimming', 'time', 'I', 'get', 'in', 'the', 'chat', 'to', 'know', 'be', 'a', 'different', 'conversation']","['iz', 'purchase', 'january', 'day', 'later', 'cancel', 'company', 'say', 'make', 'reimbursement', 'however', 'ubank', 'say', 'wait', 'swimming', 'time', 'I', 'get', 'chat', 'know', 'different', 'conversation']",iz purchase january day later cancel company say make reimbursement however ubank say wait swimming time I get chat know different conversation
Meu deus eu sou assim,Meu deus eu sou assim,eu deus eu sou assim,I God I am like this,i god i am like this,"['I', 'god', 'I', 'be', 'like', 'this']","['I', 'god', 'I', 'like']",I god I like
Minha mãe é a que arruma briga com a gerência por causa de outra pessoa. Se for em alguma repartição pública então…,Minha mãe é a que arruma briga com a gerência por causa de outra pessoa. Se for em alguma repartição pública então…,inha mãe é a que arruma briga com a gerência por causa de outra pessoa e for em alguma repartição pública então,Mother is the one who gets a fight with management because of someone else and is in some public office then,mother is the one who gets a fight with management because of someone else and is in some public office then,"['mother', 'be', 'the', 'one', 'who', 'get', 'a', 'fight', 'with', 'management', 'because', 'of', 'someone', 'else', 'and', 'be', 'in', 'some', 'public', 'office', 'then']","['mother', 'one', 'get', 'fight', 'management', 'someone', 'else', 'public', 'office']",mother one get fight management someone else public office
Minha mãe kkkkkkkkkkkk tão simpática.,Minha mãe kkkkkkkkkkkk tão simpática.,inha mãe kkkkkkkkkkkk tão simpática,Inham Mother Kkkkkkkkkkkkk,inham mother kkkkkkkkkkkkk,"['inham', 'mother', 'kkkkkkkkkkkkk']","['inham', 'mother', 'kkkkkkkkkkkkk']",inham mother kkkkkkkkkkkkk
😂😂😂,face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,['facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy'],['facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy'],facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy
Desculpa sua mae ta certa kkk,Desculpa sua mae ta certa kkk,esculpa sua mae ta certa kkk,sculp your mother is right kkk,sculp your mother is right kkk,"['sculp', 'your', 'mother', 'be', 'right', 'kkk']","['sculp', 'mother', 'right', 'kkk']",sculp mother right kkk
"Minha mãe todinha, antes eu ficava c vergonha, agora saio andando e deixo ela lá kkkkkkk","Minha mãe todinha, antes eu ficava c vergonha, agora saio andando e deixo ela lá kkkkkkk",inha mãe todinha antes eu ficava c vergonha agora saio andando e deixo ela lá kkkkkkk,Inham mother todinha before I was as shame now I go out and leave her there kkkkkkk,inham mother todinha before i was as shame now i go out and leave her there kkkkkkk,"['inham', 'mother', 'todinha', 'before', 'I', 'be', 'as', 'shame', 'now', 'I', 'go', 'out', 'and', 'leave', 'she', 'there', 'kkkkkkk']","['inham', 'mother', 'todinha', 'I', 'shame', 'I', 'go', 'leave', 'kkkkkkk']",inham mother todinha I shame I go leave kkkkkkk
Eu sou essa mãe! HAHHAHHAA,Eu sou essa mãe! HAHHAHHAA,u sou essa mãe,I am this mother,i am this mother,"['I', 'be', 'this', 'mother']","['I', 'mother']",I mother
"Eu sou assim, e não sou mãe. Devo me preocupar? 👀😂","Eu sou assim, e não sou mãe. Devo me preocupar? eyesface_with_tears_of_joy",u sou assim e não sou mãe evo me preocupar eyesfacewithtearsofjoy,I am like this and I am not a mother EVO worry about EyesfaceWitharSofjoy,i am like this and i am not a mother evo worry about eyesfacewitharsofjoy,"['I', 'be', 'like', 'this', 'and', 'I', 'be', 'not', 'a', 'mother', 'evo', 'worry', 'about', 'eyesfacewitharsofjoy']","['I', 'like', 'I', 'mother', 'evo', 'worry', 'eyesfacewitharsofjoy']",I like I mother evo worry eyesfacewitharsofjoy
"Eu amoooo falar com as pessoas em qualquer lugar, sou mãe né kkkk","Eu amoooo falar com as pessoas em qualquer lugar, sou mãe né kkkk",u amoooo falar com as pessoas em qualquer lugar sou mãe né kkkk,u amoooo talk to people anywhere I'm a mother right kkkk,u amoooo talk to people anywhere im a mother right kkkk,"['u', 'amoooo', 'talk', 'to', 'people', 'anywhere', 'I', 'm', 'a', 'mother', 'right', 'kkkk']","['u', 'amoooo', 'talk', 'people', 'anywhere', 'I', 'mother', 'right', 'kkkk']",u amoooo talk people anywhere I mother right kkkk
Gente essa sou eu. Puxo conversa até com poste e adoro sair elogiando as pessoas haha as vezes as pessoas me olham esquisito. Tô nem aí 😂,Gente essa sou eu. Puxo conversa até com poste e adoro sair elogiando as pessoas haha as vezes as pessoas me olham esquisito. Tô nem aí face_with_tears_of_joy,ente essa sou eu uxo conversa até com poste e adoro sair elogiando as pessoas haha as vezes as pessoas me olham esquisito ô nem aí facewithtearsofjoy,This is me a talk to even with post and I love to go out praising people haha ​​sometimes people look at me weird ô no there faceWithtarSOFJOY,this is me a talk to even with post and i love to go out praising people haha sometimes people look at me weird no there facewithtarsofjoy,"['this', 'be', 'I', 'a', 'talk', 'to', 'even', 'with', 'post', 'and', 'I', 'love', 'to', 'go', 'out', 'praise', 'people', 'haha', 'sometimes', 'people', 'look', 'at', 'I', 'weird', 'no', 'there', 'facewithtarsofjoy']","['I', 'talk', 'even', 'post', 'I', 'love', 'go', 'praise', 'people', 'haha', 'sometimes', 'people', 'look', 'I', 'weird', 'facewithtarsofjoy']",I talk even post I love go praise people haha sometimes people look I weird facewithtarsofjoy
"Minha mãe, fala com todo mundo.","Minha mãe, fala com todo mundo.",inha mãe fala com todo mundo,Inhan Mother speaks to everyone,inhan mother speaks to everyone,"['inhan', 'mother', 'speak', 'to', 'everyone']","['inhan', 'mother', 'speak', 'everyone']",inhan mother speak everyone
Amei,Amei,mei,mei,mei,['mei'],['mei'],mei
Queremos de novo Nubank👏👏,Queremos de novo Nubankclapping_handsclapping_hands,ueremos de novo ubankclappinghandsclappinghands,We will use again ubankclappinghandsclappinghands,we will use again ubankclappinghandsclappinghands,"['we', 'will', 'use', 'again', 'ubankclappinghandsclappinghand']","['use', 'ubankclappinghandsclappinghand']",use ubankclappinghandsclappinghand
Eeeeeeuuuu😂😂,Eeeeeeuuuuface_with_tears_of_joyface_with_tears_of_joy,eeeeeuuuufacewithtearsofjoyfacewithtearsofjoy,eeeeeuuuufacewithtearsofjoyfacewithtearsofjoy,eeeeeuuuufacewithtearsofjoyfacewithtearsofjoy,['eeeeeuuuufacewithtearsofjoyfacewithtearsofjoy'],['eeeeeuuuufacewithtearsofjoyfacewithtearsofjoy'],eeeeeuuuufacewithtearsofjoyfacewithtearsofjoy
Eu sou a mãe 😂,Eu sou a mãe face_with_tears_of_joy,u sou a mãe facewithtearsofjoy,U I'm Mother FaceWithtarSOFJOY,u im mother facewithtarsofjoy,"['u', 'I', 'm', 'mother', 'facewithtarsofjoy']","['u', 'I', 'mother', 'facewithtarsofjoy']",u I mother facewithtarsofjoy
"Banco desse e engraçado, devia cuidar era dos clientes melhor","Banco desse e engraçado, devia cuidar era dos clientes melhor",anco desse e engraçado devia cuidar era dos clientes melhor,Anco of this and funny should take care of the customers better,anco of this and funny should take care of the customers better,"['anco', 'of', 'this', 'and', 'funny', 'should', 'take', 'care', 'of', 'the', 'customer', 'well']","['anco', 'funny', 'take', 'care', 'customer', 'well']",anco funny take care customer well
Eu 🤭 kkkkkkk,Eu face_with_hand_over_mouth kkkkkkk,u facewithhandovermouth kkkkkkk,to facewithhandoverovermouth kkkkkkk,to facewithhandoverovermouth kkkkkkk,"['to', 'facewithhandoverovermouth', 'kkkkkkk']","['facewithhandoverovermouth', 'kkkkkkk']",facewithhandoverovermouth kkkkkkk
@joanafreitas_hairstylist ❤️❤️❤️,@joanafreitas_hairstylist red_heartred_heartred_heart,joanafreitashairstylist redheartredheartredheart,joanafreitashairstylist redheartredheartredheart,joanafreitashairstylist redheartredheartredheart,"['joanafreitashairstylist', 'redheartredheartredheart']","['joanafreitashairstylist', 'redheartredheartredheart']",joanafreitashairstylist redheartredheartredheart
A minha também kkkkkk,A minha também kkkkkk,minha também kkkkkk,mine too kkkkkk,mine too kkkkkk,"['mine', 'too', 'kkkkkk']","['mine', 'kkkkkk']",mine kkkkkk
A minha mãe é desse jeito kkkkkk,A minha mãe é desse jeito kkkkkk,minha mãe é desse jeito kkkkkk,My mother is like that kkkkkk,my mother is like that kkkkkk,"['my', 'mother', 'be', 'like', 'that', 'kkkkkk']","['mother', 'like', 'kkkkkk']",mother like kkkkkk
Aí sim😍,Aí simsmiling_face_with_heart-eyes,í simsmilingfacewithhearteyes,In SimsmilingFacewithhearteyes,in simsmilingfacewithhearteyes,"['in', 'simsmilingfacewithhearteyes']",['simsmilingfacewithhearteyes'],simsmilingfacewithhearteyes
@brunatortoro onde isso?,@brunatortoro onde isso?,brunatortoro onde isso,Brunatortoror where this,brunatortoror where this,"['brunatortoror', 'where', 'this']",['brunatortoror'],brunatortoror
Minha mãe é assim...e eu estou no mesmo caminho 😂😂😂😂,Minha mãe é assim...e eu estou no mesmo caminho face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,inha mãe é assime eu estou no mesmo caminho facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,Mother is asymus I am in the same path faceWitharSofjoyFaceWithtarSOFJOYFACEWITHTARSOFJOYFACEWYTARSOFJOY,mother is asymus i am in the same path facewitharsofjoyfacewithtarsofjoyfacewithtarsofjoyfacewytarsofjoy,"['mother', 'be', 'asymus', 'I', 'be', 'in', 'the', 'same', 'path', 'facewitharsofjoyfacewithtarsofjoyfacewithtarsofjoyfacewytarsofjoy']","['mother', 'asymus', 'I', 'path', 'facewitharsofjoyfacewithtarsofjoyfacewithtarsofjoyfacewytarsofjoy']",mother asymus I path facewitharsofjoyfacewithtarsofjoyfacewithtarsofjoyfacewytarsofjoy
"@brunatortoro eu fui paguei 27,99 e nem o refil me deram, dizendo q estava sem refil, e é pra escolher entre a batata e o refil porém as unidades do burguer king querem passas perna em clientes, propaganda enganosa então, me informa quando q mudou a promoção?","@brunatortoro eu fui paguei 27,99 e nem o refil me deram, dizendo q estava sem refil, e é pra escolher entre a batata e o refil porém as unidades do burguer king querem passas perna em clientes, propaganda enganosa então, me informa quando q mudou a promoção?",brunatortoro eu fui paguei e nem o refil me deram dizendo q estava sem refil e é pra escolher entre a batata e o refil porém as unidades do burguer king querem passas perna em clientes propaganda enganosa então me informa quando q mudou a promoção,Brunatortororo I went to I paid and the refill gave me saying that I was without refill and it is to choose between the potato and the refill but the units of Burguer King want to raisins leg in misleading advertising clients so inform me when the promotion changed,brunatortororo i went to i paid and the refill gave me saying that i was without refill and it is to choose between the potato and the refill but the units of burguer king want to raisins leg in misleading advertising clients so inform me when the promotion changed,"['brunatortororo', 'I', 'go', 'to', 'I', 'pay', 'and', 'the', 'refill', 'give', 'I', 'say', 'that', 'I', 'be', 'without', 'refill', 'and', 'it', 'be', 'to', 'choose', 'between', 'the', 'potato', 'and', 'the', 'refill', 'but', 'the', 'unit', 'of', 'burguer', 'king', 'want', 'to', 'raisin', 'leg', 'in', 'mislead', 'advertising', 'client', 'so', 'inform', 'I', 'when', 'the', 'promotion', 'change']","['brunatortororo', 'I', 'go', 'I', 'pay', 'refill', 'give', 'I', 'say', 'I', 'without', 'refill', 'choose', 'potato', 'refill', 'unit', 'burguer', 'king', 'want', 'raisin', 'leg', 'mislead', 'advertising', 'client', 'inform', 'I', 'promotion', 'change']",brunatortororo I go I pay refill give I say I without refill choose potato refill unit burguer king want raisin leg mislead advertising client inform I promotion change
"Já fui 2x em shopping diferentes e fiz a compra desse modo. Paguei os 27,90 pra 2 sanduíches e escolhi o refil do refri. Não sei se teve alteração da promoção mas desde quando comprei a primeira foi deste modo","Já fui 2x em shopping diferentes e fiz a compra desse modo. Paguei os 27,90 pra 2 sanduíches e escolhi o refil do refri. Não sei se teve alteração da promoção mas desde quando comprei a primeira foi deste modo",á fui x em shopping diferentes e fiz a compra desse modo aguei os pra sanduíches e escolhi o refil do refri ão sei se teve alteração da promoção mas desde quando comprei a primeira foi deste modo,I was x in different shopping and made the purchase this way I watched the sandwiches and chose the refill of soda I know if it had changed the promotion but since when I bought the first was this way,i was x in different shopping and made the purchase this way i watched the sandwiches and chose the refill of soda i know if it had changed the promotion but since when i bought the first was this way,"['I', 'be', 'x', 'in', 'different', 'shopping', 'and', 'make', 'the', 'purchase', 'this', 'way', 'I', 'watch', 'the', 'sandwich', 'and', 'choose', 'the', 'refill', 'of', 'soda', 'I', 'know', 'if', 'it', 'have', 'change', 'the', 'promotion', 'but', 'since', 'when', 'I', 'buy', 'the', 'first', 'be', 'this', 'way']","['I', 'x', 'different', 'shopping', 'make', 'purchase', 'way', 'I', 'watch', 'sandwich', 'choose', 'refill', 'soda', 'I', 'know', 'change', 'promotion', 'since', 'I', 'buy', 'first', 'way']",I x different shopping make purchase way I watch sandwich choose refill soda I know change promotion since I buy first way
"Amore, está na legenda a data que mudou, 20/03. Eu não trabalho no Burger King, só li as condições da promoção, então reclame lá no @ deles.","Amore, está na legenda a data que mudou, 20/03. Eu não trabalho no Burger King, só li as condições da promoção, então reclame lá no @ deles.",more está na legenda a data que mudou u não trabalho no urger ing só li as condições da promoção então reclame lá no deles,More is in the subtitle the date that changed u no work at URGER ING I only read the conditions of the promotion so complain there in theirs,more is in the subtitle the date that changed u no work at urger ing i only read the conditions of the promotion so complain there in theirs,"['more', 'be', 'in', 'the', 'subtitle', 'the', 'date', 'that', 'change', 'u', 'no', 'work', 'at', 'urger', 'ing', 'I', 'only', 'read', 'the', 'condition', 'of', 'the', 'promotion', 'so', 'complain', 'there', 'in', 'theirs']","['subtitle', 'date', 'change', 'u', 'work', 'urger', 'ing', 'I', 'read', 'condition', 'promotion', 'complain']",subtitle date change u work urger ing I read condition promotion complain
@brunatortoro Ok Amore obrigada dnv pela informação. Estamos cientes do fato ocorrido. Algo mais que necessite?,@brunatortoro Ok Amore obrigada dnv pela informação. Estamos cientes do fato ocorrido. Algo mais que necessite?,brunatortoro k more obrigada dnv pela informação stamos cientes do fato ocorrido lgo mais que necessite,Brunatortororo K More Thank you DNV for the information stamos aware of the fact that happened more than you need,brunatortororo k more thank you dnv for the information stamos aware of the fact that happened more than you need,"['brunatortororo', 'k', 'more', 'thank', 'you', 'dnv', 'for', 'the', 'information', 'stamo', 'aware', 'of', 'the', 'fact', 'that', 'happen', 'more', 'than', 'you', 'need']","['brunatortororo', 'k', 'thank', 'dnv', 'information', 'stamo', 'aware', 'fact', 'happen', 'need']",brunatortororo k thank dnv information stamo aware fact happen need
Eu kkk,Eu kkk,u kkk,u be,u be,"['u', 'be']",['u'],u
